Name,Link,Aliases
Percy Weasley,/wiki/Percy_Weasley,"['Percy', 'Perce', 'Percy Weasley']"
Fred Weasley,/wiki/Fred_Weasley,"['Rodent', 'Freddie', 'Rapier', 'Fred', 'Forge', 'Fred Weasley']"
George Weasley,/wiki/George_Weasley,"['George', 'Tentacula', 'Georgie', 'Gred', 'George Weasley']"
Ron Weasley,/wiki/Ronald_Weasley,"['Roonil Wazlib', 'Ickle Ronnikins', 'Wheezy', 'Reg Cattermole', 'Mr. Weasley', 'Dragomir Despard', 'Ron', 'Won-Won', 'Weasel', 'Ron Weasley']"
Neville Longbottom,/wiki/Neville_Longbottom,"['Longbottom', 'Neville', 'Neville Longbottom']"
Augusta Longbottom,/wiki/Augusta_Longbottom,"['Augusta', 'Augusta Longbottom']"
Lee Jordan,/wiki/Lee_Jordan,"['River', 'Lee', 'Lee Jordan']"
Lee Jordan's tarantula,/wiki/Lee_Jordan%27s_tarantula,"[""Lee Jordan's tarantula""]"
Bill Weasley,/wiki/William_Weasley,"['Bill', 'Bill Weasley']"
Charlie Weasley,/wiki/Charles_Weasley,"['Charlie', 'Charlie Weasley']"
Arthur Weasley,/wiki/Arthur_Weasley,"['Arthur', 'Arthur Weasley']"
Peter Pettigrew,/wiki/Peter_Pettigrew,"['Scabbers', 'Wormy', 'Peter', 'Wormtail', 'The Servant of Lord Voldemort', 'Peter Pettigrew']"
Cornelius Agrippa,/wiki/Cornelius_Agrippa,"['Agrippa', 'Cornelius Agrippa']"
Claudius Ptolemy,/wiki/Ptolemy,"['Claudius', 'Ptolemy', 'Claudius Ptolemy']"
Gellert Grindelwald,/wiki/Gellert_Grindelwald,"['Percival Graves', 'Gellert', 'Grindelwald', 'Abernathy', 'Gellert Grindelwald']"
Nicolas Flamel,/wiki/Nicolas_Flamel,"['Nicolas', 'Nicolas Flamel']"
Morgan le Fay,/wiki/Morgan_le_Fay,"['Morgana', 'Morgan', 'Morgan le Fay']"
Hengist of Woodcroft,/wiki/Hengist_of_Woodcroft,"['Hengist', 'Hengist of Woodcroft']"
Alberic Grunnion,/wiki/Alberic_Grunnion,"['Alberic', 'Alberic Grunnion']"
Circe,/wiki/Circe,['Circe']
Paracelsus,/wiki/Phillipus_von_Hohenheim,['Paracelsus']
Cliodna,/wiki/Cliodna,"['Cliodne', 'Cliodna']"
Bertie Bott,/wiki/Bertie_Bott,"['Bertie', 'Bertie Bott']"
Trevor,/wiki/Trevor,['Trevor']
Hermione Granger,/wiki/Hermione_Granger,"['Hermy', 'Hermione', 'Miss Granger', 'Hermione Granger']"
Vincent Crabbe,/wiki/Vincent_Crabbe,"['Crabbe', 'Vincent', 'Vincent Crabbe']"
Gregory Goyle,/wiki/Gregory_Goyle,"['Goyle', 'Gregory', 'Gregory Goyle']"
Hogwarts Express conductor,/wiki/Hogwarts_Express_conductor,['Hogwarts Express conductor']
Hermes,/wiki/Hermes,['Hermes']
Fat Friar,/wiki/Fat_Friar,"['Friar', 'Fat Friar']"
Peeves,/wiki/Peeves,"['Peevsie', 'Peevesy', 'Peeves']"
Sorting Hat,/wiki/Sorting_Hat,['Sorting Hat']
Hannah Abbott,/wiki/Hannah_Abbott,"['Hannah', 'Hannah Abbott']"
Susan Bones,/wiki/Susan_Bones,"['Susan', 'Susan Bones']"
Terry Boot,/wiki/Terry_Boot,"['Terry', 'Terry Boot']"
Mandy Brocklehurst,/wiki/Mandy_Brocklehurst,"['Mandy', 'Mandy Brocklehurst']"
