Name,Link,Aliases
Nicolas Flamel,/wiki/Nicolas_Flamel,['Nicolas']
Morgan le Fay,/wiki/Morgan_le_Fay,"['Morgan', 'Morgana']"
Hengist of Woodcroft,/wiki/Hengist_of_Woodcroft,['Hengist']
Alberic Grunnion,/wiki/Alberic_Grunnion,['Alberic']
Circe,/wiki/Circe,[]
Paracelsus,/wiki/Phillipus_von_Hohenheim,[]
Cliodna,/wiki/Cliodna,['Cliodne']
Bertie Bott,/wiki/Bertie_Bott,['Bertie']
Trevor,/wiki/Trevor,[]
Hermione Granger,/wiki/Hermione_Granger,"['Miss Granger', 'Hermy', 'Hermione']"
Vincent Crabbe,/wiki/Vincent_Crabbe,"['Vincent', 'Crabbe']"
Gregory Goyle,/wiki/Gregory_Goyle,"['Goyle', 'Gregory']"
Hogwarts Express conductor,/wiki/Hogwarts_Express_conductor,[]
Hermes,/wiki/Hermes,[]
Fat Friar,/wiki/Fat_Friar,['Friar']
Peeves,/wiki/Peeves,"['Peevsie', 'Peevesy']"
Sorting Hat,/wiki/Sorting_Hat,[]
Hannah Abbott,/wiki/Hannah_Abbott,['Hannah']
Susan Bones,/wiki/Susan_Bones,['Susan']
Terry Boot,/wiki/Terry_Boot,['Terry']
Mandy Brocklehurst,/wiki/Mandy_Brocklehurst,['Mandy']
Lavender Brown,/wiki/Lavender_Brown,"['Lav-Lav', 'Lavender']"
Millicent Bulstrode,/wiki/Millicent_Bulstrode,['Millicent']
Justin Finch-Fletchley,/wiki/Justin_Finch-Fletchley,['Justin']
Seamus Finnigan,/wiki/Seamus_Finnigan,"['Seamus', ""O'Flaherty""]"
Morag MacDougal,/wiki/Morag_MacDougal,['Morag']
Lily Moon,/wiki/Lily_Moon,['Lily']
Theodore Nott,/wiki/Theodore_Nott,['Theodore']
Pansy Parkinson,/wiki/Pansy_Parkinson,['Pansy']
Padma Patil,/wiki/Padma_Patil,['Padma']
Parvati Patil,/wiki/Parvati_Patil,"['Parvati', 'Miss Pennyfeather']"
Sally-Anne Perks,/wiki/Sally-Anne_Perks,[]
Dean Thomas,/wiki/Dean_Thomas,['Dean']
Lisa Turpin,/wiki/Lisa_Turpin,['Lisa']
Blaise Zabini,/wiki/Blaise_Zabini,['Blaise']
Nearly-Headless Nick,/wiki/Nicholas_de_Mimsy-Porpington,"['Sir Nicholas', 'Nearly Headless Nick']"
Bloody Baron,/wiki/Bloody_Baron,['Bloody']
Mr Finnigan,/wiki/Seamus_Finnigan%27s_father,['Mr. Finnigan']
Mrs Finnigan,/wiki/Seamus_Finnigan%27s_mother,['Mrs. Finnigan']
Algie,/wiki/Algie_Longbottom,[]
Severus Snape,/wiki/Severus_Snape,"['Half-Blood Prince', 'Snape', 'Severus', 'Slytherus', 'Snivellus/Snivelly', 'The Potions Master']"
Argus Filch,/wiki/Argus_Filch,"['Filchy', 'Filch', 'Argus']"
Rolanda Hooch,/wiki/Rolanda_Hooch,"['Rolanda', 'Madam Hooch']"
Fat Lady,/wiki/Fat_Lady,[]
Mrs Norris,/wiki/Mrs_Norris,['Mrs. Norris']
Pomona Sprout,/wiki/Pomona_Sprout,"['Professor Sprout', 'Pomona']"
Cuthbert Binns,/wiki/Cuthbert_Binns,"['Cuthbert', 'Professor Binns']"
Emeric the Evil,/wiki/Emeric_the_Evil,['Emeric']
Uric the Oddball,/wiki/Uric_the_Oddball,['Uric']
Filius Flitwick,/wiki/Filius_Flitwick,"['Professor Flitwick', 'Filius']"
Fang,/wiki/Fang,[]
Oliver Wood,/wiki/Oliver_Wood,"['Oliver', 'Wood']"
Helena Ravenclaw,/wiki/Helena_Ravenclaw,"['Helena', 'Grey Lady', 'The Ghost of Ravenclaw']"
Draco Malfoy's eagle owl,/wiki/Draco_Malfoy%27s_eagle_owl,[]
Gregory the Smarmy,/wiki/Gregory_the_Smarmy,['Gregory']
Fluffy,/wiki/Fluffy,[]
Baruffio,/wiki/Baruffio,[]
Angelina Johnson,/wiki/Angelina_Johnson,['Angelina']
Marcus Flint,/wiki/Marcus_Flint,"['Flint', 'Marcus']"
Alicia Spinnet,/wiki/Alicia_Spinnet,"['Spinnet', 'Alicia']"
Katie Bell,/wiki/Katie_Bell,['Katie']
Miles Bletchley,/wiki/Miles_Bletchley,['Miles']
Adrian Pucey,/wiki/Adrian_Pucey,"['Pucey', 'Adrian']"
Terence Higgs,/wiki/Terence_Higgs,"['Terence', 'Higgs']"
Irma Pince,/wiki/Irma_Pince,"['Madam Pince', 'Irma']"
Perenelle Flamel,/wiki/Perenelle_Flamel,['Perenelle']
Norbert,/wiki/Norberta,[]
Ronan,/wiki/Ronan,[]
Bane,/wiki/Bane,[]
Firenze,/wiki/Firenze,"['The nag', 'Dobbin']"
Unicorn,/wiki/Unicorn,[]
Elfric the Eager,/wiki/Elfric_the_Eager,['Elfric']
Hogwarts Giant Squid,/wiki/Hogwarts_Giant_Squid,['giant squid']
King's Cross Station,/wiki/King%27s_Cross_Station,[]
Mr Mason,/wiki/Mason,['Mr. Mason']
Mrs Mason,/wiki/Mason%27s_wife,['Mrs. Mason']
Dobby,/wiki/Dobby,[]
Mafalda Hopkirk,/wiki/Mafalda_Hopkirk,['Mafalda']
Errol,/wiki/Errol,[]
Perkins,/wiki/Perkins,[]
Weasley family,/wiki/Weasley_family,[]
Weasley family,/wiki/Weasley_family,[]
Celestina Warbeck,/wiki/Celestina_Warbeck,"['Celestina', 'The Singing Sorceress']"
Gilderoy Lockhart,/wiki/Gilderoy_Lockhart,"['Lockhart', 'Gilderoy']"
Father Christmas,/wiki/Father_Christmas,[]
Mundungus Fletcher,/wiki/Mundungus_Fletcher,"['Mundungus', 'Dung']"
Mortlake,/wiki/Mortlake,[]
Weasley family ghoul,/wiki/Weasley_family_ghoul,['Ronald Weasley']
Chudley Cannons,/wiki/Chudley_Cannons,['Chudley']
Martin Miggs,/wiki/Martin_Miggs,"['The Mad Muggle', 'Martin']"
Mr Borgin,/wiki/Borgin,['Mr. Borgin']
Aged witch,/wiki/Aged_witch,[]
Mr Granger,/wiki/Hermione_Granger%27s_father,"['Mr. Granger', 'Wendell Wilkins']"
Mrs Granger,/wiki/Hermione_Granger%27s_mother,"['Monica Wilkins', 'Mrs. Granger']"
Dr Filibuster,/wiki/Dr_Filibuster%27s_Fireworks,['Dr. Filibuster']
Bozo,/wiki/Bozo,[]
Manager of Flourish and Blotts,/wiki/Manager_of_Flourish_and_Blotts,[]
Hetty Bayliss,/wiki/Hetty_Bayliss,['Hetty']
Angus Fleet,/wiki/Angus_Fleet,['Angus']
Justin Finch-Fletchley's mother,/wiki/Justin_Finch-Fletchley%27s_mother,[]
Colin Creevey,/wiki/Colin_Creevey,"['Mr. Creevey', 'Colin']"
Bandon Banshee,/wiki/Bandon_Banshee,['Bandon']
Ogden,/wiki/Ogden,[]
pixies,/wiki/Pixie,[]
Gladys Gudgeon,/wiki/Gladys_Gudgeon,['Gladys']
Veronica Smethley,/wiki/Veronica_Smethley,['Veronica']
Sir Patrick Delaney-Podmore,/wiki/Patrick_Delaney-Podmore,"['Sir Properly-Decapitated Podmore', 'Sir Patrick']"
Z. Nettles,/wiki/Z._Nettles,[]
D.J. Prod,/wiki/Demetrius_Prod,['D. J. Prod']
salamander,/wiki/Fire_Dwelling_Salamander,[]
Portly ghost,/wiki/Portly_ghost,['Portly']
Myrtle Warren,/wiki/Myrtle_Warren,"['Moaning Myrtle', 'Myrtle']"
Wailing Widow,/wiki/Wailing_Widow,['Wailing']
Ghosts,/wiki/Ghost,[]
Mrs Skower,/wiki/Skower,['Mrs. Skower']
Godric Gryffindor,/wiki/Godric_Gryffindor,['Godric']
Helga Hufflepuff,/wiki/Helga_Hufflepuff,['Helga']
Rowena Ravenclaw,/wiki/Rowena_Ravenclaw,['Rowena']
Salazar Slytherin,/wiki/Salazar_Slytherin,"['Salazar', 'Serpent-tongue']"
Transylvanian,/wiki/Transylvania,[]
Yeti,/wiki/Yeti,[]
Vampire,/wiki/Vampire,[]
Wagga Wagga Werewolf,/wiki/Wagga_Wagga_Werewolf,['Wagga']
Ernie Macmillan,/wiki/Ernest_Macmillan,"['Ernie', 'Macmillan']"
Blood-Sucking Bugbear,/wiki/Blood-Sucking_Bugbear,[]
Aurora Sinistra,/wiki/Aurora_Sinistra,"['Aurora', 'Professor Sinistra']"
Fawkes,/wiki/Fawkes,[]
Penelope Clearwater,/wiki/Penelope_Clearwater,"['Penny', 'Penelope']"
Millicent Bulstrode's cat,/wiki/Millicent_Bulstrode%27s_cat,[]
dwarfs,/wiki/Dwarf,[]
Armando Dippet,/wiki/Armando_Dippet,"['Dippet', 'Armando']"
Aragog,/wiki/Aragog,[]
Hogwarts Board of Governors,/wiki/Hogwarts_Board_of_Governors,['governors']
Mosag,/wiki/Mosag,[]
